                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.34758,                0.24357,                0.79518,                0.99951,                      1,                  0.995,                0.97636,                0.26837,                0.14466,                 0.7731,               0.002179,               0.002179,               0.002179
                     82,                0.34613,                0.24245,                0.79467,                0.99951,                      1,                  0.995,                0.97629,                0.26812,                0.14472,                0.77308,                0.00208,                0.00208,                0.00208
                     83,                0.34425,                0.24084,                0.79518,                0.99952,                      1,                  0.995,                 0.9763,                0.26816,                 0.1448,                0.77304,               0.001981,               0.001981,               0.001981
                     84,                0.34369,                0.24066,                0.79525,                0.99952,                      1,                  0.995,                 0.9763,                0.26802,                0.14465,                0.77301,               0.001882,               0.001882,               0.001882
                     85,                0.34104,                0.23803,                0.79509,                0.99952,                      1,                  0.995,                0.97617,                0.26795,                0.14474,                0.77297,               0.001783,               0.001783,               0.001783
                     86,                0.34057,                0.23503,                0.79363,                0.99952,                      1,                  0.995,                 0.9762,                0.26778,                0.14453,                0.77294,               0.001684,               0.001684,               0.001684
                     87,                0.33909,                0.23494,                0.79332,                0.99952,                      1,                  0.995,                0.97603,                0.26775,                0.14465,                0.77291,               0.001585,               0.001585,               0.001585
                     88,                0.33797,                0.23431,                0.79381,                0.99953,                      1,                  0.995,                 0.9762,                0.26762,                0.14428,                0.77289,               0.001486,               0.001486,               0.001486
                     89,                0.33606,                0.23056,                0.79299,                0.99953,                      1,                  0.995,                0.97623,                0.26749,                0.14415,                0.77286,               0.001387,               0.001387,               0.001387
                     90,                 0.3351,                0.23059,                0.79402,                0.99953,                      1,                  0.995,                0.97617,                0.26738,                0.14404,                0.77283,               0.001288,               0.001288,               0.001288
                     91,                0.30027,                0.17878,                0.78466,                0.99953,                      1,                  0.995,                0.97635,                0.26722,                0.14393,                0.77278,               0.001189,               0.001189,               0.001189
                     92,                 0.2968,                0.17617,                0.78397,                0.99953,                      1,                  0.995,                0.97609,                0.26706,                0.14361,                0.77274,                0.00109,                0.00109,                0.00109
                     93,                0.29561,                0.17472,                0.78502,                0.99953,                      1,                  0.995,                0.97633,                0.26702,                0.14374,                0.77269,               0.000991,               0.000991,               0.000991
                     94,                 0.2928,                0.17206,                0.78239,                0.99953,                      1,                  0.995,                0.97643,                0.26684,                0.14361,                0.77266,               0.000892,               0.000892,               0.000892
                     95,                0.29204,                0.17161,                 0.7827,                0.99953,                      1,                  0.995,                 0.9764,                0.26671,                 0.1437,                0.77263,               0.000793,               0.000793,               0.000793
                     96,                0.28974,                0.16881,                0.78227,                0.99954,                      1,                  0.995,                 0.9763,                 0.2665,                0.14359,                0.77259,               0.000694,               0.000694,               0.000694
                     97,                0.28892,                0.16868,                0.78212,                0.99953,                      1,                  0.995,                0.97647,                0.26639,                0.14348,                0.77255,               0.000595,               0.000595,               0.000595
                     98,                0.28656,                0.16638,                0.78243,                0.99953,                      1,                  0.995,                0.97648,                0.26631,                0.14343,                 0.7725,               0.000496,               0.000496,               0.000496
                     99,                0.28559,                 0.1657,                 0.7818,                0.99953,                      1,                  0.995,                0.97649,                 0.2662,                0.14319,                0.77246,               0.000397,               0.000397,               0.000397
                    100,                0.28353,                0.16375,                0.78074,                0.99953,                      1,                  0.995,                0.97668,                0.26599,                0.14305,                0.77242,               0.000298,               0.000298,               0.000298
